#I, J,  Distance,  diameter
934,2687,8.6003,2.3676
6179,6817,10.259,1.7013
5384,6141,10.825,1.6582
3214,5591,8.9669,2.0747
3204,8540,13.804,1.0883
13,15,14.494,4.0046
923,7831,24.167,1.2968
3754,6199,16.649,1.4309
1087,7761,8.88,1.2245
1834,6616,8.5036,1.658
2214,7761,11.132,1.9487
1323,4902,10.408,1.8155
970,1859,13.505,2.3746
1139,1859,15.348,0.68866
2840,4902,6.4357,2.3357
579,1066,11.945,2.5751
1066,7362,6.0593,2.1205
4753,8926,6.5382,0.98713
1754,2551,14.197,0.2753
7913,9247,5.0678,1.1391
2910,9247,10.167,1.2009
2493,3485,12.915,1.588
2913,3485,9.9016,1.99
2658,9526,8.1446,1.0558
3177,5710,6.2566,2.2581
4481,6269,10.818,0.56259
5062,5953,7.675,1.9686
3034,6269,13.14,2.1252
1034,1304,13.93,1.8158
1232,1935,15.651,2.3351
621,2628,17.089,2.1533
6950,7208,10.988,1.4612
1292,1407,9.295,2.8407
1292,4895,18.452,1.6805
2745,4330,7.8671,2.0343
2053,5419,11.51,0.27134
2069,5188,9.4949,1.9664
4141,4302,12.124,1.8334
324,4000,16.669,1.4485
6141,6630,13.265,1.8253
483,3214,15.139,2.0137
2992,3640,6.2627,2.04
3204,3214,11.67,2.0481
15,1025,21.947,2.4103
434,4629,12.31,2.3844
756,4629,12.505,1.5704
1838,7790,6.5415,1.6288
4673,7761,8.9313,1.747
729,1210,12.469,2.97
4616,7934,14.887,1.5687
4770,7318,8.9222,2.0875
129,2214,11.272,2.3527
1317,1437,10.75,2.4941
1317,1837,8.4697,2.1109
226,1437,22.92,1.7567
7196,8053,9.7418,1.2708
1317,4694,11.674,2.5725
309,3536,11.959,1.983
226,970,10.558,2.3051
285,3536,6.2613,2.0332
285,1745,11.217,2.5778
2840,4882,10.9,1.6333
7251,7829,13.844,1.3417
4882,7715,7.3747,1.6628
1066,2144,11.715,1.8521
5155,8623,6.8044,1.2051
5155,9652,8.0134,0.27055
3507,3783,13.282,1.9861
1616,4815,9.2737,2.4155
3507,4403,11.722,1.6335
1066,1171,23.531,1.341
6071,9324,8.5262,1.0831
5926,6110,9.6414,1.538
6470,6648,10.772,2.1936
7538,7869,11.032,1.3291
6754,7869,8.4773,1.2819
2441,2864,18.546,0.80283
4687,7959,7.2195,1.8886
